# phrase	space-separated tone-marked syllables
教学相长	jiào xué xiāng zhǎng
教猱升木	jiāo náo shēng mù
教长	jiào zhǎng
敛骨吹魂	liǎn gǔ chuī hún
敝盖不弃	bì gài bú qì
敢为敢做	gǎn wéi gǎn zuò
敢作敢为	gǎn zuò gǎn wéi
散乱	sǎn luàn
散件	sǎn jiàn
散体	sǎn tǐ
散光	sǎn guāng
散兵	sǎn bīng
散剂	sǎn jì
散射	sǎn shè
散居	sǎn jū
散户	sǎn hù
散文	sǎn wén
散板	sǎn bǎn
散架	sǎn jià
散漫	sǎn màn
散碎	sǎn suì
散装	sǎn zhuāng
散见	sǎn jiàn
散记	sǎn jì
敬业乐群	jìng yè lè qún
数一数二	shǔ yī shǔ èr
数不清	shǔ bù qīng
数不着	shǔ bù zháo
数不胜数	shǔ bú shèng shǔ
数九	shǔ jiǔ
数以万计	shǔ yǐ wàn jì
数典忘祖	shǔ diǎn wàng zǔ
数得上	shǔ de shàng
数得着	shǔ de zháo
数数	shuò shuò
数来宝	shǔ lái bǎo
数次	shù cì
数理逻辑	shù lǐ luó ji
数白论黄	shǔ bái lùn huáng
数米而炊	shǔ mǐ ér chuī
数米量柴	shǔ mǐ liáng chái
数落	shǔ luò
数道	shù dào
数量	shù liàng
数黑论黄	shǔ hēi lùn huáng
敲敲打打	qiāo qiāo dǎ dǎ
敲竹杠	qiāo zhú gàng
整冠纳履	zhěng guān nà lǚ
整躬率物	zhěng gōng shuài wù
整顿干坤	zhěng dùn gàn kūn
整齐划一	zhěng qí huà yī
文不对题	wén bú duì tí
文以载道	wén yǐ zài dào
文武差事	wén wǔ chāi shì
文蛤	wén gé
斗篷	dǒu peng
斗转参横	dǒu zhuǎn shēn héng
斠若画一	jiào ruò huà yī
斩将搴旗	zhǎn jiàng qiān qí
斫雕为朴	zhuó diāo wéi pǔ
断喝	duàn hè
断还归宗	duàn huán guī zōng
方领圆冠	fāng lǐng yuán guàn
施舍	shī shě
旌旗卷舒	jīng qí juǎn shū
族长	zú zhǎng
无一幸免	wú yī xìng miǎn
无下箸处	wú xià zhù chǔ
无为	wú wéi
无伤无臭	wú shāng wú xiù
无动为大	wú dòng wéi dà
无声无臭	wú shēng wú xiù
无孔不钻	wú kǒng bú zuàn
无宁	wú níng
无寇暴死	wú kòu bào sǐ
无恶不为	wú è bù wéi
无所不为	wú suǒ bù wéi
无的放矢	wú dì fàng shǐ
无能为力	wú néng wéi lì
无能为役	wú néng wéi yì
无量	wú liàng
无间	wú jiàn
无间冬夏	wú jiān dōng xià
无间可乘	wú jiān kě chéng
日中为市	rì zhōng wéi shì
日削月割	rì xuē yuè gē
日头	rì tou
日子	rì zi
日月参辰	rì yuè shēn chén
日省月修	rì xǐng yuè xiū
日省月试	rì xǐng yuè shì
日积月累	rì jī yuè lěi
日薄西山	rì bó xī shān
日记簿	rì jì bù
旦角	dàn jué
早占勿药	zǎo zhān wù yào
时差	shí chā
时来运转	shí lái yùn zhuǎn
时调	shí diào
旷日累时	kuàng rì lěi shí
昌亭旅食	chāng tíng lǚ shí
明效大验	míng xiào dà yàn
明晃晃	míng huǎng huǎng
易传	yì zhuàn
易地而处	yì dì ér chǔ
星宿	xīng xiù
星期一	xīng qī yī
星相	xīng xiàng
春假	chūn jià
春卷	chūn juǎn
春笋怒发	chūn sǔn nù fā
昧旦晨兴	mèi dàn chén xīng
昭德塞违	zhāo dé sè wéi
是非分明	shì fēi fēn míng
是非得失	shì fēi dé shī
昼度夜思	zhòu duó yè sī
显得	xiǎn de
晃眼	huǎng yǎn
晃荡	huàng dang
晓得	xiǎo de
晕乎乎	yūn hū hū
晕头转向	yūn tóu zhuàn xiàng
晕眩	yūn xuàn
晕船	yùn chuán
晕车	yùn chē
晚节不保	wǎn jié bù bǎo
晚食当肉	wǎn shí dàng ròu
晦盲否塞	huì máng pǐ sè
晨昏定省	chén hūn dìng xǐng
普天率土	pǔ tiān shuài tǔ
晰毛辨发	xī máo biàn fà
暑假	shǔ jià
暖和	nuǎn huo
暗地里	àn dì lǐ
暴腮龙门	pù sāi lóng mén
暴虎冯河	bào hǔ píng hé
暴衣露冠	pù yī lù guàn
暴露文学	bào lù wén xué
曝光	bào guāng
曲别针	qū bié zhēn
曲子	qǔ zi
曲径	qū jìng
曲意	qū yì
曲意逢迎	qū yì féng yíng
曲折	qū zhé
曲水	qū shuǐ
曲直	qū zhí
曲线	qū xiàn
曲肱	qū gōng
曲解	qū jiě
曲调	qǔ diào
曲阜	qū fù
曲高和寡	qǔ gāo hè guǎ
曳光弹	yè guāng dàn
更为	gèng wéi
更仆难数	gēng pú nán shǔ
更令明号	gēng lìng míng hào
更动	gēng dòng
更名	gēng míng
更名改姓	gēng míng gǎi xìng
更唱迭和	gēng chàng dié hé
更夫	gēng fū
更始	gēng shǐ
更姓改物	gēng xìng gǎi wù
更年期	gēng nián qī
更待干罢	gèng dài gàn bà
更换	gēng huàn
更改	gēng gǎi
更新	gēng xīn
更替	gēng tì
更正	gēng zhèng
更生	gēng shēng
更衣	gēng yī
更迭	gēng dié
更长梦短	gēng cháng mèng duǎn
更鼓	gēng gǔ
曾参杀人	zēng shēn shā rén
曾孙	zēng sūn
曾母投杼	zēng mǔ tóu zhù
曾祖	zēng zǔ
月一	yuè yī
月中折桂	yuè zhōng shé guì
月氏	yuè zhī
月相	yuè xiàng
月落参横	yuè luò shēn héng
有一说一	yǒu yī shuō yī
有借无还	yǒu jiè wú huán
有加无已	yǒu jiā wú yǐ
有国难投	yǒu guó nán tóu
有机玻璃	yǒu jī bō li
有点儿	yǒu diǎn er
有的放矢	yǒu dì fàng shǐ
有隙可乘	yǒu xì kě chèng
朋比为奸	péng bǐ wéi jiān
服丧	fú sāng
服服帖帖	fú fu tiē tiē
望尘僄声	wàng chén piào shēng
望闻问切	wàng wén wèn qiè
望风响应	wàng fēng xiǎng yīng
朝升暮合	zhāo shēng mù gě
朝夕	zhāo xī
朝攀暮折	zhāo pān mù shé
朝朝	zhāo zhāo
朝朝朝落	zhāo cháo zhāo luò
朝气	zhāo qì
朝霞	zhāo xiá
朝鲜族	cháo xiǎn zú
木头	mù tou
木头木脑	mù tóu mù nǎo
木干鸟栖	mù gàn niǎo qī
木杆	mù gān
木模	mù mú
未为不可	wèi wéi bù kě
未了	wèi liǎo
未见得	wèi jiàn dé
末了	mò liǎo
本分	běn fèn
本子	běn zi
本相	běn xiàng
本行	běn háng
朱轓皁盖	zhū fān zào gài
朴刀	pō dāo
朵颐大嚼	duǒ yí dà jiáo
机长	jī zhǎng
杀一儆百	shā yī jǐng bǎi
杀妻求将	shā qī qiú jiàng
杀鸡为黍	shā jī wéi shǔ
杅穿皮蠹	yú chuān pí dù
杆儿	gǎn ér
杆塔	gān tǎ
杆子	gān zi
杆菌	gǎn jūn
杉木	shā mù
李广不侯	lǐ guǎng bú hòu
材优干济	cái yōu gān jǐ
材薄质衰	cái bó zhì shuāi
村长	cūn zhǎng
杜鹃啼血	dù juān tí xuè
杜默为诗	dù mò wéi shī
束椽为柱	shù chuán wéi zhù
束缊还妇	shù yūn huán fù
束蒲为脯	shù pú wéi pú
杠子	gàng zi
杠杆	gàng gǎn
条几	tiáo jī
条子	tiáo zi
条贯部分	tiáo guàn bù fēn
来头	lái tou
来得	lái de
杯子	bēi zi
杼柚其空	zhù yòu qí kōng
杼柚空虚	zhù yòu kōng xū
松散	sōng sǎn
松筠之节	sōng yún zhī jié
板上钉钉	bǎn shàng dìng dīng
极为	jí wéi
极深研几	jí shēn yán jī
枕头	zhěn tou
林子	lín zi
林荫道	lín yīn dào
枝大于本	zh dà yú běn
枝干	zhī gàn
枝干相持	zhī gàn xiāng chí
枝杈	zhī chà
枞阳	zōng yáng
枪弹	qiāng dàn
枪杆	qiāng gǎn
枪杆子	qiāng gǎn zi
枪林弹雨	qiāng lín dàn yǔ
枯树生华	kū shù shēng huā
架子	jià zi
柏拉图	bó lā tú
柏林	bó lín
染坊	rǎn fáng
柔情绰态	róu qíng chuò tài
柚木	yóu mù
柜子	guì zi
柞丝绸	zuò sī chóu
柞蚕	zuò cán
查处	chá chǔ
柱子	zhù zi
柿子	shì zi
栅栏	zhà lan
标的	biāo dì
标量	biāo liàng
树干	shù gàn
树杈	shù chà
树碑立传	shù bēi lì zhuàn
树荫	shù yīn
栓塞	shuān sè
校准	jiào zhǔn
校勘	jiào kān
校场	jiào chǎng
校对	jiào duì
校本	jiào běn
校样	jiào yàng
校核	jiào hé
校正	jiào zhèng
校注	jiào zhù
校点	jiào diǎn
校短量长	jiào duǎn liáng cháng
校订	jiào dìng
校长	xiào zhǎng
校阅	jiào yuè
校验	jiào yàn
样子	yàng zi
核儿	hú er
核弹	hé dàn
格子	gé zi
格式	gé shì
格格不吐	gé gé bù tǔ
格格不纳	gé gé bú nà
格调	gé diào
栽种	zāi zhòng
桂折兰摧	guì shé lán cuī
桌子	zhuō zi
桑土绸缪	sāng tǔ chóu miù
桑户棬枢	sāng hù juàn shū
桑给巴尔	sāng jǐ bā ěr
桑荫不徙	sāng yīn bù xǐ
桑荫未移	sāng yīn wèi yí
桔子	jú zi
桔梗	jié gěng
梗塞	gěng sè
检察长	jiǎn chá zhǎng
棋输先著	qí shū xiān zhuó
棍子	gùn zi
棒喝	bàng hè
椅子	yǐ zi
椎埋屠狗	chuí mái tú gǒu
椎埋狗窃	chuí mái gǒu qiè
椎心泣血	chuí xīn qì xuè
椎心饮泣	chuí xīn yǐn qì
椎牛发冢	chuí niú fà zhǒng
椎牛歃血	chuí niú shà xuè
椎牛飨士	chuí niú xiǎng shì
楞眉横眼	léng méi hèng yǎn
榆木疙瘩	yú mù gē da
榔头	láng tou
榴弹	liú dàn
槛花笼鹤	jiàn huā lóng hè
模具	mú jù
模子	mú zi
模板	mú bǎn
模样	mú yàng
模模糊糊	mó mó hu hū
模糊	mó hu
模量	mó liàng
横恩滥赏	hèng ēn làn shǎng
横抢硬夺	hèng qiǎng yìng duó
横暴	hèng bào
横祸	hèng huò
横蛮	hèng mán
横财	hèng cái
次长	cì zhǎng
欺天诳地	qī tiān kuáng dì
欺行霸市	qī háng bà shì
款识	kuǎn zhì
歃血为盟	shà xuè wéi méng
歙漆阿胶	shè qī ē jiāo
止咳	zhǐ ké
止戈为武	zhǐ gē wéi wǔ
正中下怀	zhèng zhòng xià huái
正传	zhèng zhuàn
正儿八经	zhèng er bā jīng
正冠李下	zhèng guàn lǐ xià
正切	zhèng qiē
正当防卫	zhèng dàng fáng wèi
正旦	zhēng dàn
正月	zhēng yuè
正着	zhèng zháo
正身率下	zhèng shēn shuài xià
此发彼应	cǐ fā bǐ yīng
此唱彼和	cǐ chàng bǐ hè
步步为营	bù bù wéi yíng
步调	bù diào
武侯	wǔ hóu
武侯祠	wǔ hóu cí
武将	wǔ jiàng
武断专横	wǔ duàn zhuān héng
歪曲	wāi qū
死劲儿	sǐ jìn er
殉难	xùn nàn
殒身不恤	yǔn shēn bú xù
殷红	yān hóng
毁冠裂裳	huǐ guān liè cháng
毁家纾难	huǐ jiā shū nàn
毁舟为杕	huǐ zhōu wéi duò
毁誉不一	huǐ yù bù yī
毁钟为铎	huǐ zhōng wéi duó
毋宁	wú nìng
比物属事	bǐ wù zhǔ shì
毛发	máo fà
毛发倒竖	máo fā dǎo shù
毛遂堕井	máo suí duò jǐng
毫发不爽	háo fà bù shuǎng
民乐	mín yuè
民以食为天	mín yǐ shí wéi tiān
气冲斗牛	qì chōng dǒu niú
气头上	qì tóu shang
气息奄奄	qì xī yān yān
气量	qì liàng
气闷	qì mèn
氢弹	qīng dàn
水中著盐	shuǐ zhōng zhuó yán
水分	shuǐ fèn
水漂儿	shuǐ piāo er
水调歌头	shuǐ diào gē tóu
水量	shuǐ liàng
汉堡包	hàn bǎo bāo
汉藏语系	hàn zàng yǔ xì
汗褂儿	hàn guà er
汝成人耶	rǔ chéng rén yé
沉吟不决	chén yín bù jué
沉吟章句	chén yín zhāng jù
沉没	chén mò
沉疴宿疾	chén kē sù jí
沉着	chén zhuó
沉闷	chén mèn
沐猴而冠	mù hóu ér guàn
沓来踵至	tà lái zhǒng zhì
沙参	shā shēn
沙子	shā zi
没入	mò rù
没头没尾	méi tóu mò wěi
没头苍蝇	méi tóu cāng ying
没奈何	mò nài hé
没完没了	méi wán méi liǎo
没意思	méi yì si
没收	mò shōu
没没无闻	mò mò wú wén
没空	méi kòng
没药	mò yào
没落	mò luò
没谱儿	méi pǔ er
沧海	cāng hǎi
河北梆子	hé běi bāng zi
河南梆子	hé nán bāng zi
河涸海干	hé hé hǎi gān
沸沸汤汤	fèi fèi shāng shāng
油坊	yóu fáng
油干灯尽	yóu gàn dēng jìn
油腔滑调	yóu qiāng huá diào
治丧	zhì sāng
泄露	xiè lòu
法帖	fǎ tiè
法相	fǎ xiàng
法相宗	fǎ xiàng zōng
法轮常转	fǎ lún cháng zhuàn
泡桐	pāo tóng
波属云委	bō zhǔ yún wěi
波骇云属	bō hài yún zhǔ
泣下如雨	qì xià rú yǔ
泣不成声	qì bù chéng shēng
泣数行下	qì shù háng xià
泥娃娃	ní wá wa
泥而不滓	ní ér bù zǐ
泰来否	tài lái pǐ
泰然处之	tài rán chǔ zhī
洁身自好	jié shēn zì hào
洋为中用	yáng wéi zhōng yòng
洋洋纚纚	yáng yáng sǎ sǎ
洋相	yáng xiàng
洋行	yáng háng
洒心更始	sǎ xīn gèng shǐ
洒扫应对	sǎ sǎo yìng duì
洛杉矶	luò shān jī
洞见症结	dòng jiàn zhèng jié
津关险塞	jīn guān xiǎn sài
洪炉燎发	hóng lú liáo fà
流弹	liú dàn
流量	liú liàng
浅薄	qiǎn bó
浆糊	jiàng hu
浇风薄俗	jiāo fēng bó sú
济南	jǐ nán
济济一堂	jǐ jǐ yì táng
浑朴	hún pǔ
浓抹淡妆	nóng mò dàn zhuāng
浓荫	nóng yīn
浩浩汤汤	hào hào shāng shāng
浪头	làng tou
浮收勒折	fú shōu lè shé
海内外	hǎi nèi wài
海参	hǎi shēn
海量	hǎi liàng
浸没	jìn mò
消长	xiāo zhǎng
涸思干虑	hé sī gān lǜ
淋病	lìn bìng
淡汝浓抹	dàn rǔ nóng mǒ
淡然处之	dàn rán chǔ zhī
淤塞	yū sè
深仇宿怨	shēn chóu xiǔ yuàn
深厉浅揭	shēn lì qiǎn qì
深恶痛疾	shēn wù tòng jí
深恶痛绝	shēn wù tòng jué
深文曲折	shēn wén qǔ shé
深更半夜	shēn gēng bàn yè
深谷为陵	shēn gǔ wéi líng
混应滥应	hùn yīng làn yīng
混混噩噩	hún hún è è
混蛋	hún dàn
淹没	yān mò
添砖加瓦	tiān zhuān jiā wǎ
清都绛阙	qīng dōu jiàng què
渐不可长	jiàn bù kě zhǎng
渔夺侵牟	yú duó qīn móu
温差	wēn chā
游必有方	yóu bì yǒu fāng
游手好闲	yóu shǒu hào xián
游说	yóu shuì
湛恩汪濊	zhàn ēn wāng huì
湮没	yān mò
溜肩膀	liū jiān bǎng
溜达	liū da
溢美溢恶	yì měi yì wù
滂沱大雨	páng tuó dà yǔ
滋长	zī zhǎng
满载	mǎn zài
滴溜儿	dī liù er
滴滴答答	dī dī dā dā
漂亮	piào liang
漂洗	piǎo xǐ
漂漂亮亮	piào piào liang liang
漂白	piǎo bái
漏尽更阑	lòu jìn gēng lán
潢池盗弄	huáng chí dào nòng
潦原浸天	lǎo yuán jìn tiān
激将	jī jiàng
激薄停浇	jī bó tíng jiāo
火急火燎	huǒ jí huǒ liǎo
火烧火燎	huǒ shāo huǒ liǎo
灯笼	dēng long
灵长目	líng zhǎng mù
灶头	zào tóu
灾难	zāi nàn
炫玉贾石	xuàn yù gǔ shí
炫石为玉	xuàn shí wéi yù
炮仗	pào zhang
炮制	páo zhì
炮弹	pào dàn
炮烙	páo luò
炰鳖脍鲤	fǒu biē kuài lǐ
炸弹	zhà dàn
炸糕	zhá gāo
点中	diǎn zhòng
点子	diǎn zi
点将	diǎn jiàng
点着	diǎn zháo
烟卷儿	yān juǎn er
烟幕弹	yān mù dàn
烟熏火燎	yān xūn huǒ liǎo
烦闷	fán mèn
烫发	tàng fà
热得快	rè de kuài
热熬翻饼	rè áo fān bǐng
热量	rè liàng
烹龙炮凤	pēng lóng páo fèng
焦沙烂石	jiāo shā làn shí
煞住	shā zhù
煞车	shā chē
煞风景	shā fēng jǐng
照明弹	zhào míng dàn
照相	zhào xiàng
熊据虎跱	xióng jù hǔ zhì
熨帖	yù tiē
熬更守夜	áo gēng shǒu yè
燃烧弹	rán shāo dàn
燎发摧枯	liǎo fà cuī kū
燕京	yān jīng
燕处危巢	yàn chǔ wēi cháo
燕子	yàn zi
燕山	yān shān
燕岱之石	yān dài zhī shí
燕昭好马	yān zhāo hǎo mǎ
燕昭市骏	yān zhāo shì jùn
燕歌赵舞	yān gē zhào wǔ
燕石妄珍	yān shí wàng zhēn
燕赵	yān zhào
燕金募秀	yān jīn mù xiù
燕驾越毂	yān jià yuè gǔ
燕骏千金	yān jùn qiān jīn
燕麦	yàn mài
爪哇	zhǎo wā
爪子	zhuǎ zi
爪尖儿	zhuǎ jiān er
爪牙	zhǎo yá
爱人好士	ài rén hào shì
爱好	ài hào
爵士乐	jué shì yuè
父为子隐	fù wéi zǐ yǐn
父债子还	fù zhài zǐ huán
爷爷	yé ye
爸爸	bà ba
片儿	piàn er
片子	piān zi
片纸只字	piàn zhǐ zhī zì
片言只字	piàn yán zhǐ zì
片言只语	piàn yán zhǐ yǔ
片语只辞	piàn yǔ zhī cí
牌子	pái zi
牟利	móu lì
牟取	móu qǔ
牢什古子	láo shí gǔ zi
牧猪奴戏	mù zhū nú xì
物以稀为贵	wù yǐ xī wéi guì
物理量	wù lǐ liàng
物稀为贵	wù xī wéi guì
牵强	qiān qiǎng
牵累	qiān lěi
牵羊担酒	qiān yáng dān jiǔ
犁生骍角	lí shēng xīng jiǎo
犍为	qián wéi
犯得上	fàn de shàng
犯得着	fàn de zháo
犯而不校	fàn ér bú jiào
狐狸	hú li
狐狸尾巴	hú li wěi ba
狗续侯冠	gǒu xù hòu guàn
狧穅及米	shì kāng jí mǐ
独一无二	dú yī wú èr
独处	dú chǔ
独有千秋	dú yǒu qiān qiū
狮子	shī zi
狼狈为奸	láng bèi wéi jiān
狼藉	láng jí
猛将	měng jiàng
猜中	cāi zhòng
猜度	cāi duó
猪圈	zhū juàn
猴子	hóu zi
率先垂范	shuài xiān chuí fàn
率兽食人	shuài shòu shí rén
率土同庆	shuài tǔ tóng qìng
率土归心	shuài tǔ guī xīn
率尔成章	shuài ěr chéng zhāng
率性	shuài xìng
率由旧章	shuài yóu jiù zhāng
率直	shuài zhí
率真	shuài zhēn
率领	shuài lǐng
率马以骥	shuài mǎ yǐ jì
玉卮无当	yù zhī wú dàng
王八	wáng ba
王爷	wáng ye
王贡弹冠	wáng gòng dàn guàn
王都	wáng dū
玩儿不转	wán ér bú zhuàn
玩岁愒时	wán suì kài shí
玻璃纤维	bō li xiān wéi
玻璃钢	bō li gāng
班长	bān zhǎng
琅嬛福地	láng huán fú dì
理发师	lǐ fà shī
琴瑟之好	qín sè zhī hào
琵琶	pí pa
瑜百瑕一	yú bǎi xiá yī
瑶池女使	yáo chí nǚ shǐ
瓜葛	guā gé
瓜葛相连	guā gé xiāng lián
瓜蔓	guā wàn
瓦岗军	wǎ gāng jūn
瓶子	píng zi
甘分随时	gān fèn suí shí
甘处下流	gān chǔ xià liú
甚为	shèn wéi
生发	shēng fà
生拖死拽	shēng tuō sǐ zhuài
生死簿	shēng sǐ bù
生还	shēng huán
生长	shēng zhǎng
用处	yòng chu
甲冠天下	jiǎ guàn tiān xià
甲壳	jiǎ qiào
电位差	diàn wèi chā
电荷	diàn hè
电量	diàn liàng
画地为牢	huà dì wéi láo
画片	huà piàn
画荻和丸	huà dí huò wán
畅所欲为	chàng suǒ yù wéi
留空	liú kōng
畜产	xù chǎn
畜养	xù yǎng
畜妻养子	xù qī yǎng zǐ
畜牧	xù mù
畜牲	chù shēng
畜生	chù sheng
番禺	pān yú
疏不间亲	shū bú jiàn qīn
疙疙瘩瘩	gē ge dā dā
疙瘩	gē da
疟疾	nüè ji
疲于奔命	pí yú bēn mìng
疾不可为	jí bù kě wéi
病假	bìng jià
症结	zhēng jié
痌瘝在抱	tōng guān zài bào
痕量	hén liàng
痛自创艾	tòng zì chuāng yì
瘠薄	jí bó
瘦削	shòu xuē
瘪三	biē sān
癖好	pǐ hào
癞蛤蟆	lài há ma
登坛拜将	dēng tán bài jiàng
白发	bái fà
白术	bái zhú
白衣卿相	bái yī qīng xiàng
白首为郎	bái shǒu wéi láng
白首相知	bái shǒu xiāng zhī
百不一遇	bǎi bù yī yù
百不失一	bǎi bù shī yī
百不当一	bǎi bù dāng yī
百不获一	bǎi bù huò yī
百兽率舞	bǎi shòu shuài wǔ
百发百中	bǎi fā bǎi zhòng
百夫长	bǎi fū zhǎng
百孔千创	bǎi kǒng qiān chuāng
百无失一	bǎi wú shī yī
百里挑一	bǎi lǐ tiāo yī
的士	dī shì
的的确确	dí dí què què
的确	dí què
皇上	huáng shang
皮夹	pí jiā
盐分	yán fèn
盒子	hé zi
盖头	gài tou
盖子	gài zi
盘子	pán zi
盛放	shèng fàng
目不暇给	mù bù xiá jǐ
目挑心招	mù tiǎo xīn zhāo
目无尊长	mù wú zūn zhǎng
目的	mù dì
目眢心忳	mù yuān xīn tún
目量意营	mù liàng yì yíng
直奔	zhí bèn
直截了当	zhí jié liǎo dàng
直率	zhí shuài
相与为一	xiāng yǔ wéi yī
相中	xiāng zhòng
相位	xiàng wèi
相依为命	xiāng yī wéi mìng
相公	xiàng gong
相册	xiàng cè
相切相磋	xiāng qiē xiāng cuō
相国	xiàng guó
相图	xiàng tú
相士	xiàng shì
相声	xiàng sheng
相处	xiāng chǔ
相女配夫	xiàng nǚ pèi fū
相差无几	xiāng chā wú jǐ
相时度力	xiāng shí duó lì
相时而动	xiàng shí ér dòng
相机	xiàng jī
相率	xiāng shuài
相称	xiāng chèn
相貌	xiàng mào
相门有相	xiàng mén yǒu xiàng
相间	xiāng jiàn
相面	xiàng miàn
相马	xiàng mǎ
相鼠有皮	xiàng shǔ yǒu pí
盼头	pàn tou
省亲	xǐng qīn
省察	xǐng chá
省得	shěng de
省悟	xǐng wù
省视	xǐng shì
省长	shěng zhǎng
看中	kàn zhòng
看头	kàn tou
看守	kān shǒu
看家	kān jiā
看得起	kàn de qǐ
看护	kān hù
看押	kān yā
看相	kàn xiàng
看管	kān guǎn
看门	kān mén
真相	zhēn xiàng
眩晕	xuàn yùn
眯缝	mī feng
眼不见为净	yǎn bú jiàn wéi jìng
眼泡	yǎn pāo
着人先鞭	zhuó rén xiān biān
着凉	zháo liáng
着力	zhuó lì
着实	zhuó shí
着床	zhuó chuáng
着急	zháo jí
着想	zhuó xiǎng
着意	zhuó yì
着手	zhuó shǒu
着数	zhāo shù
着法	zhāo fǎ
着火	zháo huǒ
着眼	zhuó yǎn
着色	zhuó sè
着落	zhuó luò
着迷	zháo mí
着重	zhuó zhòng
着陆	zhuó lù
着魔	zháo mó
睡着	shuì zháo
睡觉	shuì jiào
督率	dū shuài
瞧得起	qiáo de qǐ
矜功负气	jīn gōng fù qì
矜己自饰	jīn jǐ zì shì
矢量	shǐ liàng
知了	zhī liǎo
知会	zhī hui
知疼着热	zhī téng zháo rè
知识	zhī shi
知识面	zhī shi miàn
短发	duǎn fà
短见薄识	duǎn jiàn bó shí
矮人观场	ǎi rén guān chǎng
矮子	ǎi zi
石头	shí tou
石子儿	shí zǐ er
石室金匮	shí shì jīn guì
石磨	shí mò
石英玻璃	shí yīng bō li
研一	yán yī
砚台	yàn tái
破家为国	pò jiā wèi guó
破涕为笑	pò tì wéi xiào
破觚为圜	pò gū wéi yuán
硕望宿德	shuò wàng xiǔ dé
硕果累累	shuò guǒ léi léi
硝云弹雨	xiāo yún dàn yǔ
碌碡	liù zhou
碑帖	bēi tiè
碔砆混玉	wǔ fū hùn yù
碰头会	pèng tóu huì
碾坊	niǎn fáng
磨削	mó xuē
磨坊	mò fáng
磨房	mò fáng
磨棱刓角	mó léng wán jiǎo
磨盘	mò pán
磨砻镌切	mó lóng juān qiē
磨磨蹭蹭	mó mó cèng cèng
磨蹭	mó ceng
磨难	mó nàn
礼为情貌	lǐ wéi qíng mào
礼乐	lǐ yuè
礼崩乐坏	lǐ bēng yuè huài
礼拜一	lǐ bài yī
礼让为国	lǐ ràng wéi guó
社长	shè zhǎng
神不守舍	shén bù shǒu shě
神出鬼没	shén chū guǐ mò
神差鬼使	shén chāi guǐ shǐ
神武挂冠	shén wǔ guà guàn
神龙失埶	shén lóng shī shì
祲威盛容	jìn wēi shèng róng
祸为福先	huò wéi fú xiān
祸福相依	huò fú xiāng yī
禁不住	jīn bú zhù
禁不起	jīn bù qǐ
禁得住	jīn de zhù
禁得起	jīn de qǐ
禁舍开塞	jìn shě kāi sāi
禅絮沾泥	chán xù zhān ní
福为祸始	fú wéi huò shǐ
福相	fú xiàng
离本徼末	lí běn jiǎo mò
离间	lí jiàn
秀出班行	xiù chū bān háng
私了	sī liǎo
种地	zhòng dì
种子	zhǒng zi
种树	zhòng shù
种殖	zhòng zhí
种瓜	zhòng guā
种瓜得瓜	zhòng guā dé guā
种菜	zhòng cài
种豆	zhòng dòu
种豆得豆	zhòng dòu dé dòu
科教片	kē jiào piān
科长	kē zhǎng
秕言谬说	bǐ yán miù shuō
秘鲁	bì lǔ
秤杆	chèng gǎn
积年累月	jī nián lěi yuè
积德累功	jī dé lěi gōng
积时累日	jī shí lěi rì
积素累旧	jī sù lěi jiù
积累	jī lěi
积谗糜骨	jī chán méi gǔ
积露为波	jī lù wéi bō
称为	chēng wéi
称体裁衣	chèn tǐ cái yī
称体载衣	chēng tǐ zài yī
称呼	chēng hu
称家有无	chèn jiā yǒu wú
称德度功	chēng dé duó gōng
称心	chèn xīn
称职	chèn zhí
称雨道晴	chēng yǔ dào qíng
移的就箭	yí dì jiù jiàn
稀薄	xī bó
稀里哗啦	xī li huā lā
稀里糊涂	xī li hú tú
稍为	shāo wéi
稍息	shào xī
稚齿婑媠	zhì chǐ wǒ tuó
稽首	qǐ shǒu
穴居野处	xué jū yě chǔ
穷年累月	qióng nián lěi yuè
穷形尽相	qióng xíng jìn xiàng
穷追不舍	qióng zhuī bù shě
空位	kòng wèi
空余	kòng yú
空儿	kòng er
空包弹	kōng bāo dàn
空地	kòng dì
空子	kòng zi
空当	kòng dāng
空格	kòng gé
空白	kòng bái
空缺	kòng quē
空腹便便	kōng fù pián pián
空转	kōng zhuàn
空闲	kòng xián
空隙	kòng xì
空难	kōng nàn
空额	kòng é
穿红着绿	chuān hóng zhuó lǜ
窗明几净	chuāng míng jī jìng
窝囊	wō nang
窝里斗	wō li dòu
站长	zhàn zhǎng
章句小儒	zhāng jù xiǎo rú
童颜鹤发	tóng yán hè fà
竹子	zhú zi
竹筒倒豆子	zhú tǒng dào dòu zi
竹篮打水	zhú lán dá shuǐ
笃近举远	dǔ jìn jǔ yuǎn
笔杆	bǐ gǎn
笔杆子	bǐ gǎn zi
笔调	bǐ diào
符号逻辑	fú hào luó jí
第一	dì yī
笼头	lóng tóu
笼子	lóng zi
笼络	lǒng luò
笼统	lǒng tǒng
笼罩	lǒng zhào
笼鸟槛猿	lóng niǎo jiàn yuán
笼鸟池鱼	lóng niǎo chí yú
等量	děng liàng
答应	dā ying
答理	dā li
答腔	dā qiāng
筷子	kuài zi
简丝数米	jiǎn sī shǔ mǐ
管乐	guǎn yuè
箪食壶浆	dān shí hú jiāng
箪食瓢饮	dān sì piáo yǐn
箱笼	xiāng lǒng
箸长碗短	zhù cháng wǎn duǎn
篮子	lán zi
