# phrase	space-separated tone-marked syllables
兄长	xiōng zhǎng
充其量	chōng qí liàng
充分	chōng fèn
充塞	chōng sè
兆头	zhào tou
先下手为强	xiān xià shǒu wéi qiáng
先我着鞭	xiān wǒ zhuó biān
先睹为快	xiān dǔ wéi kuài
光晕	guāng yùn
光杆	guāng gǎn
克什米尔	kè shí mǐ ěr
免得	miǎn de
兔丝燕麦	tù sī yàn mài
兔头麞脑	tù tóu zhāng nǎo
兔子	tù zi
兔葵燕麦	tù kuí yàn mài
党内外	dǎng nèi wài
党参	dǎng shēn
党豺为虐	dǎng chái wéi nüè
兜肚连肠	dōu dǔ lián cháng
入吾彀中	rù wú gòu zhōng
入土为安	rù tǔ wéi ān
入理切情	rù lǐ qiē qíng
入行	rù háng
入铁主簿	rù tiě zhǔ bù
八一	bā yī
公了	gōng liǎo
公公	gōng gong
公切线	gōng qiē xiàn
公家	gōng jia
公差	gōng chāi
公干	gōng gàn
公转	gōng zhuàn
六一	liù yī
六安	lù ān
六尺之讬	liù chǐ zhī tuō
共为唇齿	gòng wéi chún chǐ
共处	gòng chǔ
共枝别干	gòng zhī bié gàn
关卡	guān qiǎ
兴会	xìng huì
兴冲冲	xìng chōng chōng
兴味	xìng wèi
兴头	xìng tou
兴文匽武	xīng wén yǎn wǔ
兴致	xìng zhì
兴观群怨	xìng guān qún yuàn
兴趣	xìng qù
兴高彩烈	xìng gāo cǎi liè
兴高采烈	xìng gāo cǎi liè
兵不由将	bīng bù yóu jiàng
兵多将广	bīng duō jiàng guǎng
兵强将勇	bīng qiáng jiàng yǒng
兵微将寡	bīng wēi jiàng guǎ
其一	qí yī
典当	diǎn dàng
养分	yǎng fèn
养尊处优	yǎng zūn chǔ yōu
养精畜锐	yǎng jīng xù ruì
内分泌腺	nèi fèn mì xiàn
内切圆	nèi qiē yuán
内省	nèi xǐng
内蒙	nèi měng
内行	nèi háng
冒名接脚	mào míng jiē jiǎo
冒失	mào shi
军乐	jūn yuè
军长	jūn zhǎng
农行	nóng háng
冠军	guàn jūn
冠屦倒施	guàn jù dǎo shī
冠山戴粒	guàn shān dài lì
冤家对头	yuān jia duì tóu
冰解的破	bīng jiě dì pò
冲冠眦裂	chōng guàn zì liè
冲劲	chòng jìn
冲劲儿	chòng jìn er
冲压	chòng yā
冲量	chōng liàng
冷颤	lěng zhàn
准头	zhǔn tou
准将	zhǔn jiàng
凉快	liáng kuai
几乎	jī hū
几案	jī àn
几率	jī lǜ
凤靡鸾吪	fèng mǐ luán é
凭几据杖	píng jī jù zhàng
凭城借一	píng chéng jiè yī
凶横	xiōng hèng
凶相	xiōng xiàng
出入无间	chū rù wú jiān
出塞	chū sài
出处殊途	chū chǔ shū tú
出处语默	chū chǔ yǔ mò
出处进退	chū chǔ jìn tuì
出头露面	chū tóu lù miàn
出将入相	chū jiàng rù xiàng
出差	chū chāi
出没	chū mò
出落	chū luò
出门应辙	chū mén yīng zhé
击中	jī zhòng
击排冒没	jī pái mào mò
凿龟数策	záo guī shǔ cè
刀把	dāo bà
刀耕火种	dāo gēng huǒ zhòng
刁钻	diāo zuān
刁难	diāo nàn
分为	fēn wéi
分内	fèn nèi
分划	fēn huá
分叉	fēn chà
分外	fèn wài
分子量	fēn zǐ liàng
分得	fēn de
分毫不差	fēn háo bú chà
分量	fèn liàng
分风劈流	fēn fēng pǐ liú
切中	qiè zhòng
切中要害	qiè zhòng yào hài
切入	qiē rù
切削	qiē xiāo
切割	qiē gē
切勿	qiè wù
切变	qiē biàn
切口	qiē kǒu
切断	qiē duàn
切树倒根	qiē shù dǎo gēn
切片	qiē piàn
切理餍心	qiē lǐ yàn xīn
切磋	qiē cuō
切花	qiē huā
切身体会	qiè shēn tǐ huì
切近的当	qiē jìn de dāng
切除	qiē chú
切面	qiē miàn
划不来	huá bù lái
划伤	huá shāng
划地为牢	huá dì wéi láo
划得来	huá de lái
划拉	huá la
划拳	huá quán
划桨	huá jiǎng
划算	huá suàn
划船	huá chuán
划艇	huá tǐng
划过	huá guò
列传	liè zhuàn
列车长	liè chē zhǎng
刚劲	gāng jìng
创伤	chuāng shāng
创口	chuāng kǒu
创巨痛深	chuāng jù tòng shēn
创痛	chuāng tòng
创面	chuāng miàn
初一	chū yī
删削	shān xuē
判处	pàn chǔ
刨床	bào chuáng
利令志惛	lì lìng zhì hūn
别传	bié zhuàn
别别的	biè bié de
别扭	biè niu
刷子	shuā zi
刷白	shuà bái
刹住	shā zhù
刹车	shā chē
刺猬	cì wei
刻划	kè huà
刻木为鹄	kè mù wéi hú
刻薄	kè bó
剂量	jì liàng
削价	xuē jià
削减	xuē jiǎn
削发	xuē fà
削壁	xuē bì
削尖脑袋	xuē jiān nǎo dài
削平	xuē píng
削弱	xuē ruò
削木为吏	xuē mù wéi lì
削株掘根	xuē zhū jué gēn
削瘦	xuē shòu
削职为民	xuē zhí wéi mín
削足适履	xuē zú shì lǚ
削铁如泥	xuē tiě rú ní
削铁无声	xuē tiě wú shēng
前仆后继	qián pū hòu jì
前头	qián tou
剥削	bō xuē
剥皮抽筋	bō pí chōu jīn
剥肤椎髓	bō fū chuí suǐ
剪发	jiǎn fà
割切	gē qiē
割舍	gē shě
剸繁决剧	tuán fán jué jù
劈柴	pǐ chái
力气	lì qi
力量	lì liàng
劝百讽一	quàn bǎi fěng yī
劝降	quàn xiáng
功不可没	gōng bù kě mò
功劳簿	gōng láo bù
功薄蝉翼	gōng bó chán yì
加载	jiā zài
动中窾要	dòng zhōng kuǎn yào
动弹	dòng tan
动量	dòng liàng
助兴	zhù xìng
助天为虐	zhù tiān wéi nüè
助纣为虐	zhù zhòu wéi nüè
助长	zhù zhǎng
努劲儿	nǔ jìn er
劲射	jìng shè
劲敌	jìng dí
劲旅	jìng lǚ
劲风	jìng fēng
劳什子	láo shí zi
勇冠三军	yǒng guàn sān jūn
勉为其难	miǎn wéi qí nán
勉强	miǎn qiǎng
勾当	gòu dàng
勾搭	gōu da
匀称	yún chèn
包扎	bāo zā
化为	huà wéi
化子	huà zi
化整为零	huà zhěng wéi líng
化枭为鸠	huà xiāo wéi jiū
化腐为奇	huà fǔ wéi qí
化险为夷	huà xiǎn wéi yí
化鸱为凤	huà chī wéi fèng
北窗高卧	běi chuāng gāo wò
北辰星拱	běi chén xīng gǒng
北鄙之音	běi bǐ zhī yīn
匡救弥缝	kuāng jiù mí fèng
区长	qū zhǎng
十不当一	shí bù dāng yī
十魔九难	shí mó jiǔ nàn
千了百当	qiān liǎo bǎi dàng
千差万别	qiān chā wàn bié
午觉	wǔ jiào
半夜三更	bàn yè sān gēng
华佗	huà tuó
华发	huá fà
华山	huà shān
华达呢	huá dá ní
卑宫菲食	bēi gōng fěi shí
单一	dān yī
单于	chán yú
单子	dān zi
单干	dān gàn
单薄	dān bó
单调	dān diào
卖文为生	mài wén wéi shēng
卖李钻核	mài lǐ zuān hé
卖相	mài xiàng
南腔北调	nán qiāng běi diào
南蛮鴂舌	nán mán jué shé
南贩北贾	nán fàn běi gǔ
博文约礼	bó wén yuē lǐ
博闻强识	bó wén qiáng zhì
占便宜	zhàn pián yi
占卜	zhān bǔ
占卦	zhān guà
占星	zhān xīng
占风望气	zhān fēng wàng qì
卡壳	qiǎ ké
卡脖子	qiǎ bó zi
卬首信眉	áng shǒu shēn méi
印累绶若	yìn léi shòu ruò
危如累卵	wēi rú lěi luǎn
危难	wēi nàn
